date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1960-07-01,5.5,1.8518518518518379,7.843137254901977
1960-08-01,5.6,1.8181818181818077,7.692307692307687
1960-09-01,5.5,-1.7857142857142794,0.0
1960-10-01,6.1,10.909090909090914,7.017543859649122
1960-11-01,6.1,0.0,5.1724137931034475
1960-12-01,6.6,8.196721311475418,24.52830188679245
1961-01-01,6.6,0.0,26.923076923076916
1961-02-01,6.9,4.545454545454564,43.75000000000002
1961-03-01,6.9,0.0,27.777777777777768
1961-04-01,7.0,1.4492753623188248,34.615384615384606
1961-05-01,7.1,1.4285714285714235,39.2156862745098
1961-06-01,6.9,-2.8169014084506894,27.777777777777768
1961-07-01,7.0,1.4492753623188248,27.27272727272727
1961-08-01,6.6,-5.714285714285716,17.85714285714286
1961-09-01,6.7,1.5151515151515138,21.818181818181827
1961-10-01,6.5,-2.985074626865669,6.557377049180335
1961-11-01,6.1,-6.153846153846154,0.0
1961-12-01,6.0,-1.6393442622950727,-9.090909090909083
1962-01-01,5.8,-3.3333333333333326,-12.121212121212121
1962-02-01,5.5,-5.1724137931034475,-20.28985507246377
1962-03-01,5.6,1.8181818181818077,-18.840579710144933
1962-04-01,5.6,0.0,-20.000000000000007
1962-05-01,5.5,-1.7857142857142794,-22.535211267605625
1962-06-01,5.5,0.0,-20.28985507246377
1962-07-01,5.4,-1.8181818181818077,-22.857142857142854
1962-08-01,5.7,5.555555555555558,-13.636363636363624
1962-09-01,5.6,-1.7543859649122862,-16.417910447761198
1962-10-01,5.4,-3.5714285714285587,-16.92307692307692
1962-11-01,5.7,5.555555555555558,-6.5573770491803245
1962-12-01,5.5,-3.508771929824561,-8.333333333333337
1963-01-01,5.7,3.6363636363636376,-1.724137931034475
1963-02-01,5.9,3.5087719298245723,7.272727272727275
1963-03-01,5.7,-3.3898305084745783,1.7857142857143016
1963-04-01,5.7,0.0,1.7857142857143016
1963-05-01,5.9,3.5087719298245723,7.272727272727275
1963-06-01,5.6,-5.084745762711873,1.8181818181818077
1963-07-01,5.6,0.0,3.703703703703698
1963-08-01,5.4,-3.5714285714285587,-5.263157894736836
1963-09-01,5.5,1.8518518518518379,-1.7857142857142794
1963-10-01,5.5,0.0,1.8518518518518379
1963-11-01,5.7,3.6363636363636376,0.0
1963-12-01,5.5,-3.508771929824561,0.0
1964-01-01,5.6,1.8181818181818077,-1.7543859649122862
1964-02-01,5.4,-3.5714285714285587,-8.47457627118644
1964-03-01,5.4,0.0,-5.263157894736836
1964-04-01,5.3,-1.85185185185186,-7.017543859649134
1964-05-01,5.1,-3.7735849056603765,-13.559322033898313
1964-06-01,5.2,1.9607843137255054,-7.142857142857128
1964-07-01,4.9,-5.769230769230771,-12.49999999999999
1964-08-01,5.0,2.0408163265306145,-7.407407407407418
1964-09-01,5.1,2.0000000000000018,-7.272727272727275
1964-10-01,5.1,0.0,-7.272727272727275
1964-11-01,4.8,-5.882352941176472,-15.789473684210531
1964-12-01,5.0,4.166666666666674,-9.090909090909093
1965-01-01,4.9,-1.9999999999999907,-12.49999999999999
1965-02-01,5.1,4.081632653061207,-5.55555555555557
1965-03-01,4.7,-7.843137254901955,-12.962962962962965
1965-04-01,4.8,2.127659574468077,-9.433962264150942
1965-05-01,4.6,-4.166666666666674,-9.80392156862745
1965-06-01,4.6,0.0,-11.538461538461553
1965-07-01,4.4,-4.347826086956507,-10.204081632653061
